reference,name,document-type,document-url,documentation-url,organisation,adopted-date,notes,entry-date,start-date,end-date
HRY/1,Charging Schedule ,CIL,https://new.haringey.gov.uk/sites/default/files/haringey_revised_cil_charging_schedule.pdf,https://new.haringey.gov.uk/planning-building-control/planning/planning-applications/pre-application-guidance/community-infrastructure-levy-cil,local-authority: HRY,14/03/2022,,,01/09/2022,
HRW/1,Charging Schedule ,CIL,http://www.harrow.gov.uk/downloads/file/31257/annual_cil_rate_summary_2023.pdf,https://www.harrow.gov.uk/planning-developments/community-infrastructure-levy,local-authority: HRW,16/09/2013,,,01/01/2024,31/12/2024
HAV/1,Charging Schedule ,CIL,https://www.havering.gov.uk/downloads/file/3304/community-infrastructure-levy-charging-schedule,https://www.havering.gov.uk/planning-3/planning-application-process-appeals/3,local-authority: HAV,01/07/2019,,,01/01/2022,31/12/2022
HIL/1,Charging Schedule ,CIL,https://www.hillingdon.gov.uk/media/3568/CIL-Charging-Schedule-on-10-July-2014/pdf/5hAdopted_CIL_Charging_Schedule.pdf?m=1601370641253,https://www.hillingdon.gov.uk/community-infrastructure-levy,local-authority: HIL,10/07/2014,,,01/01/2024,31/12/2024
HNS/1,Charging Schedule ,CIL,https://lbhounslow.sharepoint.com/sites/InternetLinks/pp/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FInternetLinks%2Fpp%2FShared%20Documents%2FPlanning%20and%20Building%20%28WEBPAGES%29%2FCIL%20Community%20Infrastructure%20Levy%2F1%2E%20CIL%20Charges%2FHounslow%20Community%20Infrastructure%20Levy%20Adopted%20Charging%20Schedule%20July%202015%2Epdf&parent=%2Fsites%2FInternetLinks%2Fpp%2FShared%20Documents%2FPlanning%20and%20Building%20%28WEBPAGES%29%2FCIL%20Community%20Infrastructure%20Levy%2F1%2E%20CIL%20Charges&p=true&ga=1,https://www.hounslow.gov.uk/info/20010/planning_and_building/1094/community_infrastructure_levy,local-authority: HNS,14/07/2015,,,24/07/2015,
ISL/1,Charging Schedule ,CIL,https://www.islington.gov.uk/-/media/sharepoint-lists/public-records/planningandbuildingcontrol/information/adviceandinformation/20222023/lbi-cil-charging-schedule-accessible-2023.pdf?la=en&hash=387936A44C702FBB0094C3382838B9E58F4763D1,https://www.islington.gov.uk/planning/planning-policy/community-infrastructure-levy/cil-information,local-authority: ISL,26/06/2014,,,01/09/2014,
LBH/1,Charging Schedule ,CIL,https://www.lambeth.gov.uk/sites/default/files/2024-12/Annual%20CIL%20Rate%20Summary%202025.pdf,https://www.lambeth.gov.uk/planning-building-control/developer-contributions/community-infrastructure-levy-cil,local-authority: LBH,01/01/2014,,,01/01/2022,
LEW/1,Charging Schedule ,CIL,https://lewisham.gov.uk/myservices/planning/policy/cil,https://lewisham.gov.uk/myservices/planning/policy/cil,local-authority: LEW,25/02/2015,,,01/04/2015,
MRT/1,Charging Schedule ,CIL,https://www.merton.gov.uk/assets/Documents/merton_cil_charging_schedule.pdf,https://www.merton.gov.uk/planning-and-buildings/planning/community-infrastructure-levy/overview,local-authority: MRT,01/04/2014,,,01/04/2014,
NWM/1,Charging Schedule ,CIL,https://www.newham.gov.uk/downloads/file/877/cil-newham-charging-schedule,https://www.newham.gov.uk/planning-development-conservation/planning-policy-local-plan/6,local-authority: NWM,30/09/2013,,,01/01/2024,31/12/2024
RDB/1,Charging Schedule ,CIL,https://www.redbridge.gov.uk/planning-and-building/planning-policy/community-infrastructure-levy/,https://www.redbridge.gov.uk/planning-and-building/planning-policy/community-infrastructure-levy/annual-cil-rate-summary/,local-authority: RDB,01/01/2012,,,01/01/2024,31/12/2024
RIC/1,Charging Schedule ,CIL,https://www.richmond.gov.uk/media/hgpo1jai/cil_annual_rate_summary_2024.pdf,https://www.richmond.gov.uk/services/planning/planning_policy/community_infrastructure_levy/borough_cil_and_planning_obligations,local-authority: RIC,01/11/2014,,,01/11/2014,
SWK/1,Charging Schedule ,CIL,https://www.southwark.gov.uk/sites/default/files/2024-11/revised_southwark_cil_charging_schedule_dec_2017.pdf,https://www.southwark.gov.uk/planning-environment-and-building-control/planning/planning-obligations-s106-and-community-0,local-authority: SWK,29/11/2017,,,01/12/2017,
STN/1,Charging Schedule ,CIL,https://drive.google.com/drive/folders/0Bww0pBhg-RKJTmt0SmpKQUZaMTg?resourcekey=0-F_YOdfhXkMqukmnYwHkuEA,https://drive.google.com/drive/folders/0Bww0pBhg-RKJTmt0SmpKQUZaMTg?resourcekey=0-F_YOdfhXkMqukmnYwHkuEA,local-authority: STN,03/03/2014,Google Drive with no links as such,,01/04/2014,
TWH/1,Charging Schedule ,CIL,https://www.towerhamlets.gov.uk/Documents/Planning-and-building-control/Development-control/Annual-CIL-Rate-Summary-2025.pdf,https://www.towerhamlets.gov.uk/lgnl/planning_and_building_control/Infrastructure_planning/community_infrastructure_levy.aspx,local-authority: TWH,01/04/2015,,,17/01/2020,
WFT/1,Charging Schedule ,CIL,https://www.walthamforest.gov.uk/sites/default/files/2023-12/Annual%20CIL%20Rate%20Summary%202024.pdf,https://www.walthamforest.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy/how-much-cil-payable,local-authority: WFT,15/05/2014,,,15/05/2014,
WND/1,Charging Schedule ,CIL,https://www.wandsworth.gov.uk/media/2650/charging_schedule_11_07_2012.pdf,https://www.wandsworth.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-cil/what-is-the-community-infrastructure-levy-cil/,local-authority: WND,11/07/2012,,,01/11/2012,
MAI/1,Charging Schedule ,CIL,https://maidstone.gov.uk/home/primary-services/planning-and-building/community-infrastructure-levy/charging-schedule,https://maidstone.gov.uk/home/primary-services/planning-and-building/community-infrastructure-levy/about-cil,local-authority: MAI,25/10/2017,,,01/10/2018,
MAV/1,Charging Schedule ,CIL,https://www.malvernhills.gov.uk/component/fileman/?view=file&routed=1&name=CIL%20Charging%20Structure%202017%20and%20Reg%20123%20Final%20Verison%20-%20MHDC.pdf&folder=Documents/Planning/Planning%20Policy&container=fileman-files,https://www.malvernhills.gov.uk/planning/other-planning-services/community-infrastructure-levy,local-authority: MAV,16/05/2017,,,05/06/2017,
MSU/1,Charging Schedule ,CIL,https://www.midsuffolk.gov.uk/documents/54707/115216/MSDC-Charging-Schedule.pdf/9b72198d-bcda-34ce-b2b2-67adebd37413?t=1684848078563,https://www.midsuffolk.gov.uk/w/cil-calculation,local-authority: MSU,21/01/2016,,,11/04/2016,
MOL/1,Charging Schedule ,CIL,https://molevalleydc.sharepoint.com/:b:/s/MVDCDocumentLibrary/Ed-Do0s957VIstkKu0akFlkB-YrXfNXuv1cueCjW_UwQ1g?e=3IFTnx,https://www.molevalley.gov.uk/planning-building/cil-and-affordable-housing-contributions/,local-authority: MOL,11/10/2016,,,01/01/2017,
NEW/1       ,Charging Schedule ,CIL,https://www.newforest.gov.uk/media/126/CIL-Charging-Schedule/pdf/cil-charging-schedule.pdf?m=1585217946027,https://www.newforest.gov.uk/calculatecil,local-authority: NEW,14/04/2014,,,06/04/2015,
NEA/1,Charging Schedule ,CIL,https://www.newark-sherwooddc.gov.uk/media/nsdc-redesign/documents-and-images/your-council/planning-policy/other-planning-policy-information/community-infrastructure-levy-cil/Community-Infrastructure-Levy-Charging-Schedule.pdf,https://www.newark-sherwooddc.gov.uk/cil/,local-authority: NEA,01/12/2011,,,01/01/2018,
NET/1,Charging Schedule ,CIL,https://www.newcastle.gov.uk/sites/default/files/2019-01/charging_schedule_november_2016.pdf,https://www.newcastle.gov.uk/services/planning-building-and-development/guide-planning-applications/planning-obligations-and-2#doc,local-authority: NET,02/11/2016,,,14/11/2016,
NKE/1,Charging Schedule ,CIL,https://www.n-kesteven.gov.uk/sites/default/files/2023-01/nk001_charging_schedule.pdf,https://www.n-kesteven.gov.uk/planning-building/planning/planning-policy/developer-contributions/frequently-asked-questions-about-community-infrastruture-levy-cil,local-authority: NKE,23/05/2017,"In 2018, City of Lincoln Council, North Kesteven District Council and West Lindsey District Council worked with each other to adopt and implement CIL. , It took effect on 22 January 2018.",,01/01/2024,31/12/2024
NSM/1,Charging Schedule ,CIL,https://n-somerset.gov.uk/sites/default/files/2024-12/Community%20Infrastructure%20Levy%20Indexation%202025.pdf,https://n-somerset.gov.uk/my-services/planning-building-control/planning-policy/community-infrastructure-levy/about-community-infrastructure-levy,,18/07/2017,Took effect on 18th January 2018,,01/01/2025,31/12/2025
NTY/1,Charging Schedule ,CIL,https://my.northtyneside.gov.uk/sites/default/files/web-page-related-files/NTC%20CIL%20Charging%20Schedule.pdf,https://my.northtyneside.gov.uk/category/1157/community-infrastructure-levy-cil,local-authority: NTY,22/11/2018,Brought into effect on the 14 January 2019.,,14/01/2019,
NOW/1,Charging Schedule ,CIL,https://www.norwich.gov.uk/download/downloads/id/1982/cil_charging_schedule_norwich.pdf,https://www.norwich.gov.uk/downloads/file/1982/cilchargingschedulenorwich,local-authority: NOW,25/06/2013,Came into effect on the 15 July 2013,,01/01/2024,31/12/2024
OXO/1,Charging Schedule ,CIL,https://www.oxford.gov.uk/community-infrastructure-levy/community-infrastructure-levy-oxford,https://www.oxford.gov.uk/community-infrastructure-levy/community-infrastructure-levy-oxford,local-authority: OXO,21/10/2013,"On 21 October 2013, the City Council commenced charging CIL",,01/01/2024,31/12/2024
PTE/1,Charging Schedule ,CIL,https://www.peterborough.gov.uk/asset-library/peterborough-community-infrastructure-levy-charging-schedule.pdf,https://www.peterborough.gov.uk/council/planning-and-development/planning-and-building/community-infrastructure-levy,local-authority: PTE,15/04/2015,,,24/04/2015,
PLY/1,Charging Schedule ,CIL,https://www.plymouth.gov.uk/sites/default/files/CILChargingScheduleInstalmentsPolicy.pdf,https://www.plymouth.gov.uk/community-infrastructure-levy,local-authority: PLY,01/02/2013,,,01/06/2013,
POR/1,Charging Schedule ,CIL,https://www.portsmouth.gov.uk/services/development-and-planning/community-infrastructure-levy-cil/community-infrastructure-levy-charging-schedule/,https://www.portsmouth.gov.uk/services/development-and-planning/community-infrastructure-levy-cil/community-infrastructure-levy-general-information/,local-authority: POR,24/01/2012,,,01/04/2012,
PRE/1,Charging Schedule ,CIL,https://www.preston.gov.uk/media/18259/Annual-CIL-Rate-Summary-2024/pdf/Annual_CIL_Rate_Summary_2024.pdf?m=1720000846317,https://www.preston.gov.uk/article/1197/Community-infrastructure-levy-CIL,local-authority: PRE,22/08/2013,Charging Schedule took effect on 30 September 2013,,01/01/2024,31/12/2024
RDG/1,Charging Schedule ,CIL,https://www.reading.gov.uk/planning-and-building-control/planning-applications/community-infrastructure-levy/#summary,https://www.reading.gov.uk/planning-and-building-control/planning-applications/community-infrastructure-levy/,local-authority: RDG,27/01/2015,comes into effect on 1st April 2015,,01/01/2024,31/12/2024
REI/1,Charging Schedule ,CIL,https://www.reigate-banstead.gov.uk/downloads/file/2343/cil_charging_schedule,https://www.reigate-banstead.gov.uk/info/20369/community_infrastructure_levy/20/community_infrastructure_levy_information/6,local-authority: REI,11/02/2016,charging commenced on 1 April 2016,,01/04/2016,
ROH/1,Charging Schedule ,CIL,https://rdcpublic.blob.core.windows.net/website-uploads/2020/01/Adopted_CIL_Charging_Schedule.pdf,,local-authority: ROH,14/12/2015,This Charging Schedule will take effect on 4 April 2016,,,
ROT/1,Charging Schedule ,CIL,https://www.rotherham.gov.uk/planning-development/community-infrastructure-levy/2,https://www.rotherham.gov.uk/downloads/download/50/community-infrastructure-levy-cil-documents,local-authority: ROT,07/12/2016,The CIL Charging Schedule came into effect on 3 July 2017,,01/01/2024,31/12/2024
GRE/1,Charging Schedule ,CIL,https://www.royalgreenwich.gov.uk/download/downloads/id/7507/cil_charging_schedule_2024.pdf,https://www.royalgreenwich.gov.uk/info/200191/planning_policy_and_strategy/1182/community_infrastructure_levy_cil,local-authority: GRE,24/07/2024,,,26/07/2024,
KEC/1,Annual CIL Rate Summary,CIL,https://www.rbkc.gov.uk/sites/default/files/pdfs/15-01-22-CIL%20Charging%20Schedule.pdf,https://www.rbkc.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-cil,local-authority: KEC,21/01/2015,The Charging Schedule will become effective on 6 April 2015.,,01/01/2025,31/12/2025
KTT/1,Charging Schedule ,CIL,https://www.kingston.gov.uk/downloads/download/820/rbk-charging-schedule,"https://www.kingston.gov.uk/planning-development/community-infrastructure-levy-section-106#:~:text=The%20Community%20Infrastructure%20Levy%20(CIL,infrastructure%20needs%20within%20the%20borough.",local-authority: KTT,13/10/2015,,,01/11/2015,
WNM/1,Charging Schedule ,CIL,https://www.rbwm.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-and-section-106/cil-charging-schedule,https://www.rbwm.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-and-section-106/community-infrastructure-levy-and-section-106-introduction,local-authority: WNM,10/08/2016,implementation on 1 September 2016,,23/10/2023,
RUG/1,Charging Schedule ,CIL,http://www.rugby.gov.uk/documents/20124/0/CIL+Charging+Schedule.pdf/7a25e871-91c2-2cfe-c257-582df948c4c9?t=1709022516419,https://www.rugby.gov.uk/w/community-infrastructure-levy-cil-,local-authority: RUG,06/02/2024,,,01/04/2024,
RUN/1,Charging Schedule ,CIL,https://www.runnymede.gov.uk/downloads/file/2496/cil-charges-2025,https://www.runnymede.gov.uk/community-infrastructure-levy-cil/cil-charges,local-authority: RUN,08/12/2020,The Runnymede Borough Council CIL Charging Schedule took effect on 1 March 2021,,01/01/2025,31/12/2025
RUS/1,Charging Schedule ,CIL,https://www.rushcliffe.gov.uk/media/crplavct/annual-cil-rate-summary-2025.pdf,https://www.rushcliffe.gov.uk/planning-growth/cil/,local-authority: RUS,19/09/2019,The Charging Schedule will be brought into effect on 7 October 2019,,01/01/2025,31/12/2025
RUT/1,Charging Schedule ,CIL,https://www.rutland.gov.uk/sites/default/files/2024-11/Annual%20CIL%20Rate%20Summary%202025.pdf,https://www.rutland.gov.uk/planning-building-control/local-plan/community-infrastructure-levy-cil/how-much-you-will-pay,local-authority: RUT,01/10/2016,,,01/01/2025,31/12/2025
SAW/1,Charging Schedule ,CIL,https://www.sandwell.gov.uk/downloads/file/876/cil-charging-schedule-2015-,https://www.sandwell.gov.uk/planning/planning-policy/4,local-authority: SAW,03/03/2015,Sandwell started charging CIL on 1 April 2015,,01/04/2015,
SEV/1,Charging Schedule ,CIL,https://www.sevenoaks.gov.uk/download/downloads/id/363/charging_schedule.pdf,https://www.sevenoaks.gov.uk/info/20075/community_infrastrucure_levy/285/what_is_cil_and_when_does_it_apply,local-authority: SEV,18/02/2014,We began charging CIL on qualifying developments on 4 August 2014,,04/08/2014,
SHR/1,Annual CIL Rate Summary for 2024,CIL,https://www.shropshire.gov.uk/media/26916/annual-cil-rate-summary-2024.pdf,https://www.shropshire.gov.uk/planning-policy/community-infrastructure-levy-cil/,local-authority: SHR,01/01/2012,,,,
SOL/1,Community Infrastructure Levy (CIL) Charging Schedule,CIL,https://www.solihull.gov.uk/sites/default/files/2023-09/CIL-Charging-Schedule.pdf,https://www.solihull.gov.uk/Planning-and-building-control/Charging-schedule-and-rates,local-authority: SOL,04/07/2016,,,,
SMT/1,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/ETVD1nKojdNJkpbX5IvEKmIBMgV2WST6V9BYn4nUaz4JMw?e=S3lgWZ,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Sedgemoor,local-authority: SUA,01/04/2023,From Sedgemoor area,,,
SMT/1,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/ETVD1nKojdNJkpbX5IvEKmIBMgV2WST6V9BYn4nUaz4JMw?e=S3lgWZ,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Sedgemoor,local-authority: SMT,01/04/2023,From Sedgemoor area,,,
SMT/2,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/EXbvd1vo5XlCjKjMeinv--wB1FQKIEta43y3RGPalTLwbQ?e=vQhfJM,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Somerset+West+and+Taunton,local-authority: SUA,01/04/2023,From Somerset West and Taunton area,,,
SMT/2,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:b:/s/SCCPublic/EXbvd1vo5XlCjKjMeinv--wB1FQKIEta43y3RGPalTLwbQ?e=vQhfJM,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=Somerset+West+and+Taunton,local-authority: SMT,01/04/2023,From Somerset West and Taunton area,,,
SMT/3,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:w:/s/SCCPublic/ERIFH9UJTsZPkNKWObigGgkByPgGotVvzKe8TUXK53rYSw?e=FqflLs,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=South+Somerset,local-authority: SUA,01/04/2023,From South Somerset area,,,
SMT/3,CIL Charging Schedule,CIL,https://somersetcc.sharepoint.com/:w:/s/SCCPublic/ERIFH9UJTsZPkNKWObigGgkByPgGotVvzKe8TUXK53rYSw?e=FqflLs,https://www.somerset.gov.uk/planning-buildings-and-land/community-infrastructure-levy-and-s106-agreements/community-infrastructure-levy-and-s106-agreements/?district=South+Somerset,local-authority: SMT,01/04/2023,From South Somerset area,,,
SGC/1,charging schedule,CIL,https://beta.southglos.gov.uk/wp-content/uploads/CIL-Charging-Schedule-March-15.pdf,https://beta.southglos.gov.uk/community-infrastructure-levy-cil/,local-authority: SGC,01/08/2015,,,,
SNO/1,South Norfolk CIL charges,CIL,https://www.southnorfolkandbroadland.gov.uk/planning/community-infrastructure-levy/cil-charges-south-norfolk,https://www.southnorfolkandbroadland.gov.uk/planning/community-infrastructure-levy/cil-charges-south-norfolk,local-authority: SNO,01/05/2014,Part of Greater Norwich IIF,,,
SOX/1,CIL Charging Schedule,CIL,https://www.southoxon.gov.uk/wp-content/uploads/sites/2/2022/12/South-CIL-Charging-Schedule-Jan-2023.pdf,https://www.southoxon.gov.uk/south-oxfordshire-district-council/community-support/infrastructure-to-support-communities/community-infrastructure-levy-or-cil-header-page/community-infrastructure-levy-cil-payments-and-procedures/cil-charging-schedule/,local-authority: SOX,03/01/2023,,,,
SRI/1,CIL charging schedule 2024,CIL,https://southribble.gov.uk/downloads/file/864/cil-charging-schedule-2024,https://southribble.gov.uk/cilpayments,local-authority: SRI,,Main page for CIL - https://southribble.gov.uk/community-infrastructure-levy-cil,,,
STH/1,Charging Schedule,CIL,https://www.southampton.gov.uk/planning/community-infrastructure-levy/charging-schedule/,https://www.southampton.gov.uk/planning/community-infrastructure-levy,local-authority: STH,01/09/2013,,,,
SOS/1,CIL Charging Schedule 2015,CIL,http://www.southend.gov.uk/downloads/file/3715/community_infrastructure_levy_charging_schedule_-_july_2015,https://www.southend.gov.uk/local-planning-framework/community-infrastructure-levy-cil,local-authority: SOS,27/07/2015,,,,
STV/1,CIL - Charging Schedule,CIL,https://www.stevenage.gov.uk/documents/planning-policy/community-infrastructure-levy-cil/cil-21042020/cil-charging-schedule.pdf,https://www.stevenage.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-cil/community-infrastructure-levy,local-authority: STV,01/04/2020,,,,
STR/1,CIL charging schedule,CIL,https://www.stratford.gov.uk/doc/206616/name/Appx2%20CIL%20Charging%20Schedule%202017.pdf,https://www.stratford.gov.uk/planning-building/charging-schedule.cfm,local-authority: STR,01/02/2018,,,,
STO/1,CIL charging schedule,CIL,https://www.stroud.gov.uk/media/ozylpcg2/cil-charging-schedule.pdf,https://www.stroud.gov.uk/environment/planning-and-building-control/community-infrastructure-levy-cil/liable-development-and-charging-schedule/,local-authority: STO,01/04/2017,More documents available,,,
SUR/1,Community Infrastructure Levy (CIL) Charging Schedule,CIL,https://www.surreyheath.gov.uk/sites/default/files/2024-02/Community%20Infrastructure%20Levy%20%28CIL%29%20Charging%20Schedule.pdf,https://www.surreyheath.gov.uk/planning-and-building-control/community-infrastructure-levy-cil/community-infrastructure-levy-guidance/cil-liable-development,local-authority: SUR,01/12/2014,,,,
SWD/1,CIL charging schedule,CIL,https://www.swindon.gov.uk/downloads/file/5141/community_infrastructure_levy_charging_schedule,https://www.swindon.gov.uk/info/20112/community_infrastructure_levy_cil,local-authority: SWD,06/04/2015,,,,
TAW/1,"Guide to CIL in Tamworth, including charging schedule",CIL,https://tamworth.gov.uk/sites/default/files/planning_docs/CIL-Charging-Schedule.pdf,https://tamworth.gov.uk/planning/planning-policy/community-infrastructure-levy,local-authority: TAW,01/08/2018,,,,
TAN/1,CIL Charging Schedule,CIL,https://www.tandridge.gov.uk/Portals/0/Documents/Planning%20and%20building/Planning%20strategies%20and%20policies/Current%20and%20adopted%20planning%20policies/Community%20infrastructure%20levy/CIL-charging-schedule.pdf,https://www.tandridge.gov.uk/Planning-and-building/Planning-strategies-and-policies/Community-Infrastructure-Levy,local-authority: TAN,,Lots of info on website,,,
TEI/1,CIL Charging Schedule,CIL,https://www.teignbridge.gov.uk/media/8716/cil-charging-schedule-july-2014-web.pdf,https://www.teignbridge.gov.uk/planning/planning-applications-and-appeals/community-infrastructure-levy/how-much-cil-do-i-pay/,local-authority: TEI,13/10/2014,,,,
TES/1,CIL Inspector’s report,CIL,https://testvalley.gov.uk/assets/attach/3708/TVBC-CIL-Inspector-s-report-FINAL.pdf,https://testvalley.gov.uk/planning-services/planning/cil,local-authority: TES,,Charges on https://testvalley.gov.uk/planning-services/planning/cil,,,
TEW/1,Tewkesbury Borough Council charging schedule,CIL,https://tewkesbury.gov.uk/wp-content/uploads/2022/Planning/Community%20Infrastructure%20Levy/Charging%20schedules/Tewkesbury%20Borough%20Council%20charging%20schedule.pdf,https://tewkesbury.gov.uk/services/planning/community-infrastructure-levy-cil/,local-authority: TEW,01/10/2018,,,,
THE/1,rates for 2025 and a yearly rate summary since 2016,CIL,https://cdn.threerivers.gov.uk/files/2024/11/240e0580-a1a1-11ef-859f-8b6dca85a382-Yearly%20CIL%20Rates%20Table%20for%20Website%2025.pdf,https://www.threerivers.gov.uk/services/planning/community-infrastructure-levy,local-authority: THE,,,,,
TRF/1,Trafford CIL Charging Schedule,CIL,https://www.trafford.gov.uk/planning/strategic-planning/docs/cil-charging-schedule.pdf,https://www.trafford.gov.uk/planning/strategic-planning/Other-Supporting-Documents/community-infrastructure-levy.aspx,local-authority: TRF,07/07/2014,,,,
VAL/1,CIL Charging Schedule,CIL,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2021/10/Vale-Charging-Schedule-Nov-2021.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/community-support/infrastructure-to-support-communities-2/community-infrastructure-levy-or-cil-header-page/community-infrastructure-levy-cil-payments-and-procedures/cil-charging-schedule/,local-authority: VAL,01/11/2021,,,,
WKF/1,The community infrastructure levy charging schedule,CIL,https://www.wakefield.gov.uk/media/pefn1kfd/cil-charging-schedule-2016.pdf,https://www.wakefield.gov.uk/planning/planning-policy/community-infrastructure-levy-cil/community-infrastructure-levy-cil-approval/,local-authority: WKF,01/04/2016,,,,
WAW/1,WDC CIL Charging Schedule 2024,CIL,https://www.warwickdc.gov.uk/download/downloads/id/5848/wdc_cil_charging_schedule_2024.pdf,https://www.warwickdc.gov.uk/info/20798/community_infrastructure_levy_cil,local-authority: WAW,15/11/2017,,,,
WAT/1,Watford community infrastructure levy ,CIL,https://www.watford.gov.uk/downloads/file/251/watford-community-infrastructure-levy,https://www.watford.gov.uk/planning-information-1/community-infrastructure-levy-watford,local-authority: WAT,01/04/2015,,,,
WAE/1,Website has details,CIL,https://www.waverley.gov.uk/Services/Planning-and-building/Planning-strategies-and-policies/CIL-S106-and-planning-obligations/Community-Infrastructure-Levy-CIL,https://www.waverley.gov.uk/Services/Planning-and-building/Planning-strategies-and-policies/CIL-S106-and-planning-obligations/Community-Infrastructure-Levy-CIL,local-authority: WAE,,"Website looks like it contains all information, didn't spot a comprehensive pdf",,,
WEA/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.wealden.gov.uk/UploadedFiles/CIL_Adopted_Charging_Schedule_November_2015.pdf,https://www.wealden.gov.uk/planning-and-building-control/planning-policy/community-infrastructure-levy-cil/,local-authority: WEA,01/04/2016,Lots of pages with different documents,,,
WEW/1,Welwyn Hatfield CIL Draft Charging Schedule January 2024 (Revised August 2024),CIL,https://www.welhat.gov.uk/downloads/file/1205/welwyn-hatfield-cil-draft-charging-schedule-january-2024-revised-august-2024-,https://www.welhat.gov.uk/planning-applications/planning-obligations,local-authority: WEW,,"Draft, not implemened yet",,,
WBK/1,CIL Charging Schedule,CIL,https://www.westberks.gov.uk/media/38033/Community-Infrastructure-Levy-CIL-Charging-Schedule-2014/pdf/Complete_charging_sched_w_covers.pdf?m=1731671809293,https://www.westberks.gov.uk/community-infrastructure-levy,local-authority: WBK,01/04/2015,,,,
WLA/1,2024 CIL Rate Summary,CIL,https://www.westlancs.gov.uk/media/547530/2024-cil-rate-summary.pdf,https://www.westlancs.gov.uk/cil,local-authority: WLA,01/09/2014,Plenty of suplimentary pages,,,
WLI/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.west-lindsey.gov.uk/sites/default/files/2022-02/Community%20Infrastructure%20Levy%20Charging%20Schedule.pdf,https://www.west-lindsey.gov.uk/planning-building-control/planning/community-infrastructure-levy-cil,local-authority: WLI,13/11/2017,,,,
WNUA/1,Website has details,CIL,https://www.westnorthants.gov.uk/community-infrastructure-levy-and-infrastructure-provision/community-infrastructure-levy-cil-rates,https://www.westnorthants.gov.uk/community-infrastructure-levy-and-infrastructure-provision/community-infrastructure-levy-cil-rates,local-authority: WNUA,,"Website is best source of information with more in sub docs, 3 sub areas",,,
WAF/1,Community Infrastructure Levy (CIL) policies in South Lakeland,CIL,https://www.southlakeland.gov.uk/planning-and-building/planning/community-infrastructure-levy-cil-for-planning-applications/community-infrastructure-levy-cil-policies-in-south-lakeland/,https://www.southlakeland.gov.uk/planning-and-building/planning/community-infrastructure-levy-cil-for-planning-applications/community-infrastructure-levy-cil-charges-exemptions-penalties-and-appeals/,local-authority: WAF,01/06/2015,I think the website is most appropriate,,01/06/2015,
WIN/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.winchester.gov.uk/assets/attach/4960/Adopted-Charging-Schedule.pdf,https://www.winchester.gov.uk/planning/cil/,local-authority: WIN,08/01/2014,,,01/04/2014,
WOI/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.woking2027.info/infrastructure/httpwwwwoking2027infoinfrastructurechargingschedule.pdf,https://www.woking2027.info/infrastructure,local-authority: WOI,23/10/2014,,,23/10/2014,
WOK/1,Wokingham Borough Council Community Infrastructure Levy (CIL) Charging Schedule,CIL,https://www.wokingham.gov.uk/sites/wokingham/files/2023-06/CIL%20Charging%20Schedule%20February%202015.pdf,https://www.wokingham.gov.uk/planning-policy/planning-policy-information/community-infrastructure-levy-cil,local-authority: WOK,19/02/2015,,,19/02/2015,
WOC/1,Community Infrastructure Levy Charging Schedule,CIL,https://www.worcester.gov.uk/component/fileman/file/PDF%20Documents/Planning/planning_policy/ldf/Community_Infrastructure_Levy/Community%20Infrastructure%20Levy%20Charging%20Schedule.pdf?routed=1&container=fileman-files,https://www.worcester.gov.uk/planning/planning-policy/community-infrastructure-levy,local-authority: WOC,29/11/2016,,,29/11/2016,
